Product,Star_Rating,Review_Rating,Answered_Questions,MRP,Deal_Price,Url
"HP Pavilion 14, Intel 11th Gen i5 16GB RAM/512GB SSD 14 inch(35.6 cm) Laptop, FHD IPS Anti-Glare Display/Iris X Graphics/Backlit KB/B&O Audio/Fingerprint Reader/Win 11/Thin & Light/1.41kg, 14-dv1001TU",4.4 ,"1,528 ",430 ,"79,444.00","67,990.00",https://www.amazon.in/dp/B09MH5MLYP
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU",4.2 ,262 ,147 ,"46,055.00","39,990.00",https://www.amazon.in/dp/B09FL5CK19
"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA",2.8 ,10 ,48 ,"39,990.00","24,990.00",https://www.amazon.in/dp/B09NQ9Z2S6
"Lenovo IdeaPad 3 AMD 3020e 14'' HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.6Kg), 81W000UPIN",3.6 ,430 ,118 ,"38,390.00","27,990.00",https://www.amazon.in/dp/B09NP6VN8Q
"AVITA Cosmos 2 in 1 Intel Celeron Dual Core 11.6 inches (4 GB/64 GB EMMC Storage/Windows 10 Home) NS12T5IN021P 2 in 1 Laptop (Charcoal Grey, 1.327 kg)",3.7 ,205 ,138 ,"23,490.00","18,990.00",https://www.amazon.in/dp/B09HKBR46P
"ASUS ZenBook 14 UX433FA-A6106T 8th Gen Intel Core i5-8265U 14 inches FHD Thin and Light Business Laptop (8GB RAM/512GB PCIe SSD/Windows 10/Integrated Graphics/1.19 Kg, Icicle Silver Metal)",4.1 ,41 ,59 ,"88,990.00","72,999.00",https://www.amazon.in/dp/B07M7BZNSC
"Acer Swift 3 AMD Ryzen 5 4500U 14"" (35.56cms) Display Ultra Thin and Light Laptop (8GB Ram/512GB SSD/Window 10, Home/AMD Radeon Graphics/ Pure Silver/1.2kgs), SF314-42",4.2 ,77 ,78 ,"69,990.00","64,100.00",https://www.amazon.in/dp/B0894NHJH4
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",3.9 ,"2,115 ",713 ,"40,957.00","38,990.00",https://www.amazon.in/dp/B08T6SJ215
"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN",4.1 ,220 ,65 ,"35,999.00","28,999.00",https://www.amazon.in/dp/B09G9ZPV38
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD / DOS /Iron Grey/1 Year Onsite Warranty/1.7 kg), 82C30052IH",3.1 ,10 ,16 ,"35,900.00","29,580.00",https://www.amazon.in/dp/B09HHL3BNR
"(Renewed) Lenovo Latitude Laptop X260 Intel Core i3 - 6100u Processor 6th Gen, 4 GB Ram & 128 GB SSD, 12.5 Inches (Ultra Slim & Feather Light 1.4KG) Notebook Computer",3.0 ,9 ,14 ,"89,990.00","21,990.00",https://www.amazon.in/dp/B09MTH7Z5G
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU",3.7 ,923 ,377 ,"29,741.00","27,530.00",https://www.amazon.in/dp/B08C5W6PL2
"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/ Windows 11/ MS Office/Alexa/Jet Black/ 1.75kg) - 15s-du3563TU",3.7 ,18 ,83 ,"49,590.00","41,990.00",https://www.amazon.in/dp/B09KM1BVFH
"HP Pavilion 15, Ryzen 5- 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Laptop, FHD Anti-Glare Display/Radeon Graphics/Backlit KB/Alexa/250 nits/B&O Audio/Fingerprint Reader/Win 11/1.75 kg, 15-eh1108AU",4.4 ,129 ,114 ,"77,327.00","62,990.00",https://www.amazon.in/dp/B09HV3WT9J
"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/ Windows 11/ MS Office/Alexa/Jet Black/ 1.75kg) - 15s-du3563TU",3.7 ,18 ,83 ,"49,590.00","41,990.00",https://www.amazon.in/dp/B09KM1BVFH
"Lenovo IdeaPad 3 Intel Celeron N4020 14'' HD Thin & Light Laptop (4GB/256GB HDD/Windows 11/MS Office 2021/Platinum Grey/1.5Kg), 81WH007KIN",4.1 ,467 ,176 ,"41,800.00","31,700.00",https://www.amazon.in/dp/B09MM4FPMR
"Dell 15 (2021) i3-1005G1 Laptop, 8GB, 1TB HDD, Win 10 + MS Office, Integrated Graphics, 15.6"" (39.61 cms) FHD Display, Carbon Color (Inspiron 3511, D560677WIN9BE), Carbon Black",3.7 stars,,,"53,657.00","38,490.00",https://www.amazon.in/dp/B09M4CB7R6
"Lenovo V15-IGL (82C30052IH) Laptop (Intel Celeron N4020/ 4GB RAM/ 1TB HDD/ Windows 10 Home / 15.6""FHD/ 1 Year Warranty), Iron Grey",3.8 ,5 ,13 ,"34,990.00","29,900.00",https://www.amazon.in/dp/B09HNW36MF
"Dell 15 (2021) PQC-N5030, 4GB, 256GB SSD, Win 11 + MS Office'21, Integrated Graphics, 15.6"" (39.62 cms) HD Display, Carbon Black (Inspiron 3510, D560717WIN9B)",3.7 stars,,6 ,"39,822.15","30,990.00",https://www.amazon.in/dp/B09NLR1TWF
"HP 15 (2021) AMD Ryzen 3-3250 8 GB RAM, 1TB HDD + 256GB SSD, 15.6 inches FHD Screen, Windows 10, MS Office Thin & Light Laptop, 1.82kg (15s-gr0012AU), Silver",4.2 ,"2,390 ",849 ,"44,466.00","40,990.00",https://www.amazon.in/dp/B08T6THSMQ
"Lenovo IdeaPad 3 10th Gen Intel Core i5 15.6 FHD Thin and Light Laptop (8GB/512GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.85Kg), 81WE01MAIN",4.2 ,212 ,63 ,"72,690.00","49,990.00",https://www.amazon.in/dp/B09MKPRM3D
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB0193IN",3.0 ,2 ,,"56,590.00","37,990.00",https://www.amazon.in/dp/B09M3Y4ZV4
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU",3.8 ,322 ,150 ,"29,741.50","27,390.00",https://www.amazon.in/dp/B08C5WLK3P
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU",3.8 ,322 ,150 ,"29,741.50","27,390.00",https://www.amazon.in/dp/B08C5WLK3P
Mi Notebook Horizon Edition 14 Intel Core i7-10510U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg)(Without Webcam) XMA1904-AF,4.2 ,"1,014 ",79 ,"65,999.00","57,990.00",https://www.amazon.in/dp/B089DFJHZ8
"HP Pavilion 14, Intel 11th Gen i5 16GB RAM/512GB SSD 14 inch(35.6 cm) Laptop, FHD IPS Anti-Glare Display/Iris X Graphics/Backlit KB/B&O Audio/Fingerprint Reader/Win 11/Thin & Light/1.41kg, 14-dv1001TU",4.4 ,"1,528 ",430 ,"79,444.00","67,990.00",https://www.amazon.in/dp/B09MH5MLYP
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU",4.2 ,262 ,147 ,"46,055.00","39,990.00",https://www.amazon.in/dp/B09FL5CK19
"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA",2.8 ,10 ,48 ,"39,990.00","24,990.00",https://www.amazon.in/dp/B09NQ9Z2S6
"Lenovo IdeaPad 3 AMD 3020e 14'' HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.6Kg), 81W000UPIN",3.6 ,430 ,118 ,"38,390.00","27,990.00",https://www.amazon.in/dp/B09NP6VN8Q
"AVITA Cosmos 2 in 1 Intel Celeron Dual Core 11.6 inches (4 GB/64 GB EMMC Storage/Windows 10 Home) NS12T5IN021P 2 in 1 Laptop (Charcoal Grey, 1.327 kg)",3.7 ,205 ,138 ,"23,490.00","18,990.00",https://www.amazon.in/dp/B09HKBR46P
"ASUS ZenBook 14 UX433FA-A6106T 8th Gen Intel Core i5-8265U 14 inches FHD Thin and Light Business Laptop (8GB RAM/512GB PCIe SSD/Windows 10/Integrated Graphics/1.19 Kg, Icicle Silver Metal)",4.1 ,41 ,59 ,"88,990.00","72,999.00",https://www.amazon.in/dp/B07M7BZNSC
"Acer Swift 3 AMD Ryzen 5 4500U 14"" (35.56cms) Display Ultra Thin and Light Laptop (8GB Ram/512GB SSD/Window 10, Home/AMD Radeon Graphics/ Pure Silver/1.2kgs), SF314-42",4.2 ,77 ,78 ,"69,990.00","64,100.00",https://www.amazon.in/dp/B0894NHJH4
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",3.9 ,"2,115 ",713 ,"40,957.00","38,990.00",https://www.amazon.in/dp/B08T6SJ215
"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN",4.1 ,220 ,65 ,"35,999.00","28,999.00",https://www.amazon.in/dp/B09G9ZPV38
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD / DOS /Iron Grey/1 Year Onsite Warranty/1.7 kg), 82C30052IH",3.1 ,10 ,16 ,"35,900.00","29,580.00",https://www.amazon.in/dp/B09HHL3BNR
"(Renewed) Lenovo Latitude Laptop X260 Intel Core i3 - 6100u Processor 6th Gen, 4 GB Ram & 128 GB SSD, 12.5 Inches (Ultra Slim & Feather Light 1.4KG) Notebook Computer",3.0 ,9 ,14 ,"89,990.00","21,990.00",https://www.amazon.in/dp/B09MTH7Z5G
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU",3.7 ,923 ,377 ,"29,741.00","27,530.00",https://www.amazon.in/dp/B08C5W6PL2
"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/ Windows 11/ MS Office/Alexa/Jet Black/ 1.75kg) - 15s-du3563TU",3.7 ,18 ,83 ,"49,590.00","41,990.00",https://www.amazon.in/dp/B09KM1BVFH
"HP Pavilion 15, Ryzen 5- 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Laptop, FHD Anti-Glare Display/Radeon Graphics/Backlit KB/Alexa/250 nits/B&O Audio/Fingerprint Reader/Win 11/1.75 kg, 15-eh1108AU",4.4 ,129 ,114 ,"77,327.00","62,990.00",https://www.amazon.in/dp/B09HV3WT9J
"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/ Windows 11/ MS Office/Alexa/Jet Black/ 1.75kg) - 15s-du3563TU",3.7 ,18 ,83 ,"49,590.00","41,990.00",https://www.amazon.in/dp/B09KM1BVFH
"Lenovo IdeaPad 3 Intel Celeron N4020 14'' HD Thin & Light Laptop (4GB/256GB HDD/Windows 11/MS Office 2021/Platinum Grey/1.5Kg), 81WH007KIN",4.1 ,467 ,176 ,"41,800.00","31,700.00",https://www.amazon.in/dp/B09MM4FPMR
"Dell 15 (2021) i3-1005G1 Laptop, 8GB, 1TB HDD, Win 10 + MS Office, Integrated Graphics, 15.6"" (39.61 cms) FHD Display, Carbon Color (Inspiron 3511, D560677WIN9BE), Carbon Black",3.7 stars,,,"53,657.00","38,490.00",https://www.amazon.in/dp/B09M4CB7R6
"Lenovo V15-IGL (82C30052IH) Laptop (Intel Celeron N4020/ 4GB RAM/ 1TB HDD/ Windows 10 Home / 15.6""FHD/ 1 Year Warranty), Iron Grey",3.8 ,5 ,13 ,"34,990.00","29,900.00",https://www.amazon.in/dp/B09HNW36MF
"Dell 15 (2021) PQC-N5030, 4GB, 256GB SSD, Win 11 + MS Office'21, Integrated Graphics, 15.6"" (39.62 cms) HD Display, Carbon Black (Inspiron 3510, D560717WIN9B)",3.7 stars,,6 ,"39,822.15","30,990.00",https://www.amazon.in/dp/B09NLR1TWF
"HP 15 (2021) AMD Ryzen 3-3250 8 GB RAM, 1TB HDD + 256GB SSD, 15.6 inches FHD Screen, Windows 10, MS Office Thin & Light Laptop, 1.82kg (15s-gr0012AU), Silver",4.2 ,"2,390 ",849 ,"44,466.00","40,990.00",https://www.amazon.in/dp/B08T6THSMQ
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB0193IN",3.0 ,2 ,,"56,590.00","37,990.00",https://www.amazon.in/dp/B09M3Y4ZV4
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU",3.8 ,322 ,150 ,"29,741.50","27,390.00",https://www.amazon.in/dp/B08C5WLK3P
"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/ Windows 11/ MS Office/ Natural Silver/ 1.75kg) - 15s-du3564TU",4.1 ,319 ,184 ,"50,196.00","44,408.00",https://www.amazon.in/dp/B09KLZJDT6
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU",3.8 ,322 ,150 ,"29,741.50","27,390.00",https://www.amazon.in/dp/B08C5WLK3P
Mi Notebook Horizon Edition 14 Intel Core i7-10510U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg)(Without Webcam) XMA1904-AF,4.2 ,"1,014 ",79 ,"65,999.00","57,990.00",https://www.amazon.in/dp/B089DFJHZ8
"Dell 14 (2021) i7-1195G7 2in1 Touch Screen Laptop, 16GB, 512GB SSD, Win 10 + MS Office, 14.0"" (35.56 cms) FHD Display, Backlit KB, FPR + Active Pen, Platinum Silver (Inspiron 5410, D560596WIN9S)",4.7 ,10 ,20 ,"1,18,156.00","96,000.00",https://www.amazon.in/dp/B09F3QKQH6
"ASUS TUF Gaming F15 Laptop 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GeForce GTX 1650 4GB GDDR6 Graphics (8GB RAM/512GB NVMe SSD/Windows 10/Fortress Gray/2.30 Kg), FX566LH-HN257T",4.4 ,"2,599 ",452 ,"84,990.00","61,990.00",https://www.amazon.in/dp/B08CRMTKMK
"Lenovo IdeaPad 3 10th Gen Intel Core i5 15.6 FHD Thin and Light Laptop (8GB/512GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.85Kg), 81WE01MAIN",4.2 ,212 ,63 ,"72,690.00","49,990.00",https://www.amazon.in/dp/B09MKPRM3D
HP 240 G8 (53L43PA) Laptop (Intel Core I3/ 10th Gen/ 8GB RAM/ 512GB SSD/ Windows 10 Home/ 14 Inch/ 1 Year Warranty) Black,5.0 ,2 ,16 ,"51,990.00","40,990.00",https://www.amazon.in/dp/B09JP3ZNTB
"Lenovo Chromebook 14e 14.0"" FHD TouchScreen Business Laptop (AMD A6-9220C Processor/8GB DDR4 RAM/32GB Storage eMMC/AMD Radeon R5 Graphics/Chrome OS/Up to 10 Hours Battery Life/Mineral Grey) 81MH0037HA",3.8 ,9 ,71 ,"65,830.00","28,790.00",https://www.amazon.in/dp/B09HGSZNB5
"Dell Vostro 3405 14"" (35.56cms) HD AG Display Laptop (AMD Silver 3050U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MSO/ Black) D552147WIN9BE",3.8 ,84 ,77 ,"44,176.00","39,999.00",https://www.amazon.in/dp/B08X4NYNHW
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB018EIN",4.3 ,443 ,73 ,"57,990.00","37,990.00",https://www.amazon.in/dp/B09M41LYSC
"ASUS VivoBook 14 (2021), 14-inch (35.56 cms) FHD, Intel Core i7-1065G7 10th Gen, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Office 2021/Windows 11/Silver/1.6 Kg), X415JA-EK701WS",5.0 ,1 rating,,"82,990.00","59,990.00",https://www.amazon.in/dp/B09LJ4VLHH
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU",4.2 ,262 ,147 ,"46,055.00","39,990.00",https://www.amazon.in/dp/B09FL5CK19
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6 FHD Thin and Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801L3IN",4.1 ,144 ,58 ,"61,590.00","39,490.00",https://www.amazon.in/dp/B09MKMGWH4
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6 FHD Thin and Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801L3IN",4.1 ,144 ,58 ,"61,590.00","39,490.00",https://www.amazon.in/dp/B09MKMGWH4
"Lenovo IdeaPad 3 10th Gen Intel Core i3 15.6 HD Thin and Light Laptop (8GB/1TB HDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.7Kg), 81WB01BCIN",3.7 ,454 ,54 ,"57,290.00","38,490.00",https://www.amazon.in/dp/B09MKMT64V
Dell New 2021 Inspiron 3511 NB || Intel Core i3-11th Gen || 16 GB Ram || 1TB HDD+256GB SSD || Windows 11 Home+Office 2021 || 32 GB Pendrive sandisk|| FHD Display|Black Color || 1 Yr Warranty,5.0 ,1 rating,5 ,"56,390.00","49,490.00",https://www.amazon.in/dp/B09F5KMH9L
"(Renewed) Lenovo Thinkpad L450 14 inch Laptop (Core I3 5th Gen/4GB/128 GB SSD/Windows 10 Pro/MS Office/Anti Glare Display/Webcam/Bluetooth/Wifi/Integrated Graphics), Black",2.7 ,3 ,,"79,990.00","21,990.00",https://www.amazon.in/dp/B09HV5QSYP
"Dell 14 (2021) Intel i5-1135G7 Laptop, 8GB, 512GB SSD, Windows 10 + MS Office, Integrated Graphics, 14.0 inches FHD Display, Accent Black (Vostro 3400, D552204WIN9BE), 1.59kg",4.0 ,144 ,56 ,"69,000.00","64,000.00",https://www.amazon.in/dp/B09F3RF871
"Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches Business Laptop (4GB RAM/1TB HDD/Windows 11 Home/Integrated Graphic Card/Black/1.9 Kg, EX215-31)",4.2 ,4 ,12 ,"37,890.00","31,290.00",https://www.amazon.in/dp/B09MJ52H9S
"Acer Travelmate Business Laptop Intel Celeron N4020 Dual-core Processor ( 4GB DDR4/ 256GB SSD / Windows 10 Home/Spill Resistant Keyboard) TMB311-31 with 29.4 cm (11.6 Inches) HD Display, Black",4.1 ,5 ,4 ,,,https://www.amazon.in/dp/B09MM8CVRN
"Dell 14 (2021) Ryzen 3-3250U, 8GB, 1TB HDD, Win 11 + MS Office'21, AMD Vega Graphics, 14"" (35.56 cms) FHD Display, Accent Black (Vostro 3405, D552234WIN9B)",3.7 stars,,,"46,375.08","37,890.00",https://www.amazon.in/dp/B09NLS4ZMH
"(Renewed) Hp ProBook 640 G1 4TH Gen Core i5 Laptop, 8 GB RAM, 240GB SSD, Intel HD Graphics, 14 inch (36.83 cms) FHD Screen, Windows 11 (Upgraded), MS Office, Black",Previous page of related Sponsored Products,,,"49,999.00","24,499.00",https://www.amazon.in/dp/B09PVJG644
"(Renewed) Hp ProBook 640 G1 4th Gen Core i5 Laptop, 16 GB RAM, 240GB SSD, Intel HD Graphics, 14 inch (36.83 cms) FHD Screen, Windows 11 (Upgraded), MS Office, Black",Previous page of related Sponsored Products,,,"49,999.00","26,499.00",https://www.amazon.in/dp/B09PVGCLQ1
"ASUS VivoBook 14 (2021), Intel Core i3-1115G4 11th Gen, 14 Inches FHD Business Laptop (8GB RAM/256GB SSD/Office 2019/Windows 10 Home/Integrated UHD Graphics/Silver/1.6 kg), X415EA-EK342TS",4.2 ,210 ,56 ,"51,990.00","39,990.00",https://www.amazon.in/dp/B09BF6S7RX
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6 inches FHD IPS Business Laptop (16GB/512GB SSD/Windows 10 Home/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG014DIN",4.3 ,267 ,83 ,"78,900.00","61,900.00",https://www.amazon.in/dp/B09G9Z32KW
